,time_seconds,time_seconds_delta,Timestamp,Data,AX,AY,AZ,fAX,fAY,fAZ,speed_change,filtered_speed_change,Amag,fAmag,fAmag_norm,Q3 threshold,Std threshold,HO threshold
0,65541.234,0.0,18:12:21:234,0001462415 [app] INFO: ACCEL: ,-704,-480,576,26.766279,168.241196,8.758143,0.0,0.0,1028.4901555192446,170.5820588216261,0.02818871176030846,Normal data,Normal data,Normal data
1,65541.325,0.09100000000034925,18:12:21:325,0001462551 [app] INFO: ACCEL: ,-2016,1984,96,-3.032218,195.304382,10.175572,-183.45600000070408,-0.27593183800105897,2830.1462859718044,195.59278677888057,0.041602406615121754,Normal data,Normal data,Normal data
2,65541.416,0.09100000000034925,18:12:21:416,0001462641 [app] INFO: ACCEL: ,-1024,-544,1824,-18.302029,184.058868,39.223648,-93.18400000035763,-1.665484639006392,2161.36253321834,189.07968086863846,0.03810931295601744,Normal data,Normal data,Normal data
3,65541.507,0.09100000000034925,18:12:21:507,0001462731 [app] INFO: ACCEL: ,-960,-288,1600,-32.457813,176.883011,64.703102,-87.36000000033528,-2.953660983011336,1888.0,191.12195220223,0.039204619119290615,Normal data,Normal data,Normal data
4,65541.603,0.09600000000500586,18:12:21:603,0001462821 [app] INFO: ACCEL: ,-1216,448,1792,-50.310703,180.980347,93.299789,-116.73600000608712,-4.829827488251848,2211.4755255258874,209.73770157994755,0.04918857408746081,Normal data,Normal data,Normal data
5,65541.685,0.08199999999487773,18:12:21:685,0001462911 [app] INFO: ACCEL: ,256,256,192,-45.652779,182.103195,94.96183,20.991999998688698,-3.7435278777661543,409.7999511957023,210.3889232269127,0.04953783575110246,Normal data,Normal data,Normal data
6,65541.779,0.09399999999732245,18:12:21:779,0001463001 [app] INFO: ACCEL: ,-224,-544,-1856,-48.340317,171.379807,62.590416,-21.05599999940023,-4.543989797870566,1947.0100153825608,188.74687989492912,0.037930825919720405,Normal data,Normal data,Normal data
7,65541.865,0.08600000001024455,18:12:21:865,0001463091 [app] INFO: ACCEL: ,480,768,-1088,-40.469315,180.186935,43.09045,41.28000000491738,-3.48036109041459,1415.6157670780585,189.63618821961686,0.03840777767096867,Normal data,Normal data,Normal data
8,65542.137,0.27199999999720603,18:12:22:137,0001463181 [app] INFO: ACCEL: ,352,-512,896,-34.648319,169.999329,57.626003,95.74399999901652,-9.424342767903195,1090.3504023936525,182.81420648224253,0.03474902845396693,Normal data,Normal data,Normal data
9,65542.228,0.09100000000034925,18:12:22:228,0001463451 [app] INFO: ACCEL: ,1024,-256,-384,-19.056559,163.73613,50.101707,93.18400000035763,-1.7341468690066555,1123.1954415861917,172.28712590501715,0.02910316933238245,Normal data,Normal data,Normal data
10,65542.362,0.1339999999909196,18:12:22:362,0001463541 [app] INFO: ACCEL: ,-768,-288,-32,-30.153637,157.135818,48.714375,-102.91199999302626,-4.040587357726193,820.8483416563622,167.25428979400652,0.026403970494077524,Normal data,Normal data,Normal data
11,65542.541,0.1790000000037253,18:12:22:541,0001463676 [app] INFO: ACCEL: ,-224,-832,-1056,-33.025684,142.764877,30.327734,-40.096000000834465,-5.91159743612303,1362.9145240989988,149.64049371098636,0.016957380762809497,Normal data,Normal data,Normal data
12,65542.721,0.180000000007567,18:12:22:721,0001463856 [app] INFO: ACCEL: ,32,0,928,-32.072697,140.680527,45.343079,5.760000000242144,-5.773085460242694,928.5515602270021,151.24702768336238,0.01781899328828948,Normal data,Normal data,Normal data
13,65542.813,0.09199999998963904,18:12:22:813,0001464036 [app] INFO: ACCEL: ,-1248,-800,-224,-49.657913,127.106224,40.833679,-114.81599998706952,-4.568527995485496,1499.2264672156773,142.44047824873653,0.013095885386680559,Normal data,Normal data,Normal data
14,65542.9,0.08699999999953434,18:12:22:900,0001464126 [app] INFO: ACCEL: ,-672,-608,-800,-58.742767,116.455437,26.914721,-58.463999999687076,-5.110620728972646,1208.8209131215426,133.18026763820944,0.008129470989098584,Normal data,Normal data,Normal data
15,65543.037,0.13700000000244472,18:12:23:037,0001464216 [app] INFO: ACCEL: ,1568,608,-1408,-35.050419,123.577316,3.161851,214.81600000383332,-4.801907403085688,2193.3426544888057,128.4907864540708,0.005614419458454145,Normal data,Normal data,Normal data
16,65543.125,0.08800000000337604,18:12:23:125,0001464351 [app] INFO: ACCEL: ,0,384,-320,-34.531136,127.332672,-2.248992,0.0,-3.0387399681165785,499.85597925802585,131.95100104632078,0.00747019361872408,Normal data,Normal data,Normal data
17,65543.265,0.13999999999941792,18:12:23:265,0001464441 [app] INFO: ACCEL: ,1216,864,192,-16.261961,137.858337,0.970178,170.2399999992922,-2.2766745399905344,1504.0,138.81755545075262,0.011152847943797704,Normal data,Normal data,Normal data
18,65543.349,0.08400000000256114,18:12:23:349,0001464576 [app] INFO: ACCEL: ,448,288,384,-9.412431,140.004089,7.238278,37.63200000114739,-0.7906442040241065,656.5851049178622,140.50669543639182,0.01205876353222647,Normal data,Normal data,Normal data
19,65543.529,0.17999999999301508,18:12:23:529,0001464666 [app] INFO: ACCEL: ,-704,-128,608,-19.603493,136.21669,16.984062,-126.71999999508262,-3.528628739863071,938.9696480717574,138.66413355434415,0.011070565072783822,Normal data,Normal data,Normal data
20,65543.666,0.13700000000244472,18:12:23:666,0001464846 [app] INFO: ACCEL: ,64,-160,-192,-18.378042,132.067108,13.608526,8.768000000156462,-2.5177917540449295,257.9922479455536,134.03232976834394,0.00858644694879476,Normal data,Normal data,Normal data
21,65543.804,0.13800000000628643,18:12:23:804,0001464987 [app] INFO: ACCEL: ,-192,1024,-1632,-20.890341,144.461197,-12.656625,-26.496000001206994,-2.8828670581313256,1936.198336947948,146.51154883544066,0.015279272398677376,Normal data,Normal data,Normal data
22,65543.936,0.1319999999977881,18:12:23:936,0001465116 [app] INFO: ACCEL: ,1600,416,-2592,2.308425,148.248184,-54.490147,211.19999999646097,0.304712099994894,3074.332447865715,157.96211256298167,0.021420411833696418,Normal data,Normal data,Normal data
23,65544.162,0.22599999999511056,18:12:24:162,0001465341 [app] INFO: ACCEL: ,-928,1504,1312,15.509564,155.853912,-53.153221,-209.7279999954626,3.505161463924167,2201.0324849942585,165.39725923922887,0.02540801223007078,Normal data,Normal data,Normal data
24,65544.253,0.09100000000034925,18:12:24:253,0001465476 [app] INFO: ACCEL: ,192,0,-704,18.147009,153.665833,-64.27877,17.472000000067055,1.6513778190063377,729.7122720634483,167.55375985021305,0.02656458157101113,Normal data,Normal data,Normal data
25,65544.436,0.1830000000045402,18:12:24:436,0001465566 [app] INFO: ACCEL: ,992,192,-896,32.535694,154.198196,-78.436096,181.53600000450388,5.954032002147718,1350.4606621445882,176.03373594126003,0.031112542424282644,Normal data,Normal data,Normal data
26,65544.566,0.1300000000046566,18:12:24:566,0001465746 [app] INFO: ACCEL: ,896,512,-608,45.348866,159.102814,-87.444244,116.48000000417233,5.895352580211172,1197.7579054216258,187.12755243131912,0.037062352019080376,Normal data,Normal data,Normal data
27,65544.703,0.1369999999878928,18:12:24:703,0001465881 [app] INFO: ACCEL: ,-256,672,-416,40.867496,166.087311,-92.99688,-35.07199999690056,5.59884695150521,830.7683190878189,194.68838381951588,0.0411173593448687,Normal data,Normal data,Normal data
28,65545.628,0.9250000000029104,18:12:25:628,0001466016 [app] INFO: ACCEL: ,448,704,-2944,46.868687,173.387177,-140.684616,414.40000000130385,43.353535475136404,3059.9764704977715,228.14896043637972,0.05906285717970992,Normal data,Normal data,Normal data
29,65545.896,0.2679999999963911,18:12:25:896,0001466916 [app] INFO: ACCEL: ,1120,-352,-672,62.582096,166.278091,-149.915283,300.15999999595806,16.77200172777415,1352.733528822288,232.46400659742483,0.06137709259851164,Normal data,Normal data,Normal data
30,65545.961,0.0650000000023283,18:12:25:961,0001467186 [app] INFO: ACCEL: ,-224,736,800,58.358898,173.962997,-133.524597,-14.56000000052154,3.7933283701358778,1109.897292545576,226.93105407812484,0.058409672503146784,Normal data,Normal data,Normal data
31,65546.348,0.3870000000024447,18:12:26:348,0001467276 [app] INFO: ACCEL: ,-384,1344,-1344,51.898491,189.71048,-154.440277,-148.60800000093877,20.084716017126876,1939.1049481655189,250.0706275229944,0.07081983416619395,Normal data,Normal data,Normal data
32,65546.704,0.35599999999976717,18:12:26:704,0001467636 [app] INFO: ACCEL: ,96,736,32,52.538834,197.132782,-151.198181,34.17599999997765,18.70382490398777,742.9239530396096,253.93415043047645,0.07289190969450791,Normal data,Normal data,Normal data
33,65546.817,0.11299999999755528,18:12:26:817,0001467996 [app] INFO: ACCEL: ,96,1568,1152,53.161388,215.706818,-128.841965,10.847999999765307,6.007236843870036,1948.0616006687262,256.81864506073714,0.07443891507742967,Normal data,Normal data,Normal data
34,65547.065,0.2480000000068685,18:12:27:065,0001468131 [app] INFO: ACCEL: ,-288,1216,1088,48.339352,229.440308,-107.793602,-71.42400000197813,11.988159296332018,1656.9079636479512,258.06783704880615,0.0751088787894685,Normal data,Normal data,Normal data
35,65547.131,0.0659999999916181,18:12:27:131,0001468356 [app] INFO: ACCEL: ,128,-1056,-1504,49.457066,211.687439,-132.101593,8.447999998927116,3.2641663555854556,1842.1552594719046,254.37846622865848,0.07313020409945978,Normal data,Normal data,Normal data
36,65547.315,0.1840000000083819,18:12:27:315,0001468446 [app] INFO: ACCEL: ,480,32,192,55.423763,209.177582,-126.403389,88.32000000402331,10.197972392464557,517.9652497996367,250.6090003713598,0.07110857302731115,Normal data,Normal data,Normal data
37,65547.51,0.194999999992433,18:12:27:510,0001468626 [app] INFO: ACCEL: ,-608,608,512,46.278339,214.69104,-115.302948,-118.55999999539927,9.024276104649813,1000.7357293511609,248.04978761202602,0.06973602205314844,Normal data,Normal data,Normal data
38,65547.58,0.07000000000698492,18:12:27:580,0001468806 [app] INFO: ACCEL: ,-224,-384,-1344,42.555073,206.463165,-136.565659,-15.680000001564622,2.9788551102972436,1415.6157670780585,251.17354947915362,0.07141135067838335,Normal data,Normal data,Normal data
39,65547.672,0.09200000000419095,18:12:27:672,0001468896 [app] INFO: ACCEL: ,-448,-160,-32,35.85363,201.436432,-134.743973,-41.216000001877546,3.298533960150261,476.78926162404287,244.98583057167255,0.06809276781209636,Normal data,Normal data,Normal data
40,65547.805,0.1329999999870779,18:12:27:805,0001468986 [app] INFO: ACCEL: ,-576,1056,1088,27.527983,213.083359,-113.763718,-76.60799999255687,3.6612217386442807,1621.929714876696,243.11415274301638,0.06708895395657717,Normal data,Normal data,Normal data
41,65547.988,0.1830000000045402,18:12:27:988,0001469121 [app] INFO: ACCEL: ,-1600,-2752,-608,5.415364,172.543243,-122.3013,-292.8000000072643,0.9910116120245869,3240.8591453501954,211.56111375652083,0.05016650222185605,Normal data,Normal data,Normal data
42,65548.075,0.08699999999953434,18:12:28:075,0001469301 [app] INFO: ACCEL: ,32,-256,160,5.783157,166.425125,-117.460983,2.783999999985099,0.503134658997307,303.5786553761644,203.78383072137635,0.04599540805733433,Normal data,Normal data,Normal data
43,65548.165,0.08999999999650754,18:12:28:165,0001469391 [app] INFO: ACCEL: ,192,1440,288,8.325605,184.502899,-110.588226,17.279999999329448,0.7493044499709232,1481.0158675719852,215.26818429077557,0.05215466958094884,Normal data,Normal data,Normal data
44,65548.345,0.180000000007567,18:12:28:345,0001469481 [app] INFO: ACCEL: ,1056,352,-1952,22.488853,186.906021,-141.525482,190.08000000799075,4.0479935401701725,2247.0745425997775,235.51872802526847,0.06301539361756171,Normal data,Normal data,Normal data
45,65548.525,0.17999999999301508,18:12:28:525,0001469661 [app] INFO: ACCEL: ,992,1216,-2016,35.687885,201.509903,-173.618988,178.55999999307096,6.423819299750723,2554.7947079951455,268.3717927372152,0.08063507209491952,Normal data,Normal data,Normal data
46,65548.661,0.13599999999860302,18:12:28:661,0001469841 [app] INFO: ACCEL: ,768,384,256,45.711868,204.115189,-166.120773,104.44799999892712,6.216814047936142,896.0,267.1117677652422,0.07995929846240563,Normal data,Normal data,Normal data
47,65548.753,0.09200000000419095,18:12:28:753,0001469981 [app] INFO: ACCEL: ,512,-1568,1536,52.099251,179.082245,-136.676407,47.10400000214577,4.793131092218346,2253.8997315763627,231.2254801258518,0.060712848991221084,Normal data,Normal data,Normal data
48,65548.84,0.08699999999953434,18:12:28:840,0001470066 [app] INFO: ACCEL: ,288,480,-1440,55.31636,183.420227,-159.579941,25.05599999986589,4.812523319974241,1544.9737861853837,249.33639310366348,0.0704260512875173,Normal data,Normal data,Normal data
49,65548.933,0.09300000000803266,18:12:28:933,0001470156 [app] INFO: ACCEL: ,1216,-1472,-384,71.004959,159.755554,-163.55484,113.08800000976771,6.603461187570359,1947.5358790019761,239.40285487826623,0.06509851940552527,Normal data,Normal data,Normal data
50,65549.021,0.08799999998882413,18:12:29:021,0001470246 [app] INFO: ACCEL: ,704,-2144,960,79.640144,126.227554,-143.914673,61.95199999213219,7.008332671109953,2452.336029177078,207.33398426177166,0.04789941806296015,Normal data,Normal data,Normal data
51,65549.201,0.180000000007567,18:12:29:201,0001470336 [app] INFO: ACCEL: ,1376,1792,-1504,97.304672,151.207291,-167.796875,247.6800000104122,17.514840960736304,2714.158433105923,245.94234142243968,0.06860576146423782,Normal data,Normal data,Normal data
52,65549.495,0.29399999999441206,18:12:29:495,0001470516 [app] INFO: ACCEL: ,-2912,3104,736,55.81596,196.264053,-151.783936,-856.1279999837279,16.4098922396881,4319.288830351589,254.30958125552505,0.07309325987251553,Normal data,Normal data,Normal data
53,65549.564,0.06900000000314321,18:12:29:564,0001470786 [app] INFO: ACCEL: ,-2080,352,3008,25.047361,198.740753,-95.798622,-143.52000000653788,1.7282679090787292,3674.0125203923844,222.04196264033115,0.05578756647025048,Normal data,Normal data,Normal data
54,65549.811,0.2470000000030268,18:12:29:811,0001470876 [app] INFO: ACCEL: ,-352,1024,-320,19.467405,211.699158,-99.943993,-86.94400000106543,4.808449035058924,1129.1058409201505,234.9134204172402,0.0626907564634067,Normal data,Normal data,Normal data
55,65549.876,0.0650000000023283,18:12:29:876,0001471101 [app] INFO: ACCEL: ,1216,-416,-896,37.04641,201.837616,-114.459076,79.04000000283122,2.4080166500862554,1566.693333106387,234.97178512584298,0.06272205848679546,Normal data,Normal data,Normal data
56,65550.015,0.13899999999557622,18:12:30:015,0001471191 [app] INFO: ACCEL: ,-3072,480,2208,-9.03046,206.193298,-72.220161,-427.00799998641014,-1.2552339399600512,3813.5086206799115,218.66178679136948,0.05397471850072826,Normal data,Normal data,Normal data
57,65550.147,0.1319999999977881,18:12:30:147,0001471371 [app] INFO: ACCEL: ,-1376,-1984,3488,-30.215523,172.241409,-5.727772,-181.63199999695644,-3.988449035933167,4242.14285473745,174.96539136798683,0.030539570372842377,Normal data,Normal data,Normal data
58,65550.237,0.08999999999650754,18:12:30:237,0001471461 [app] INFO: ACCEL: ,1920,2272,-2528,0.348278,205.676208,-55.199436,172.79999999329448,0.03134501999878365,3903.7376961061304,212.95492849319697,0.05091402966663371,Normal data,Normal data,Normal data
59,65550.373,0.13600000001315493,18:12:30:373,0001471551 [app] INFO: ACCEL: ,-2528,-512,-32,-40.161907,193.962967,-54.731098,-343.80800003325567,-5.462019352528327,2579.5255377685253,205.49964581381968,0.046915629976370575,Normal data,Normal data,Normal data
60,65550.46,0.08699999999953434,18:12:30:460,0001471686 [app] INFO: ACCEL: ,-256,1920,32,-43.734879,222.072708,-53.014088,-22.27199999988079,-3.8049344729796344,1937.2557910611597,232.464020454929,0.06137710003053572,Normal data,Normal data,Normal data
61,65550.55,0.08999999999650754,18:12:30:550,0001471776 [app] INFO: ACCEL: ,-1344,3840,96,-64.998795,282.017273,-50.116409,-120.95999999530613,-5.849891549772995,4069.5395316915155,293.7179600788209,0.09422866901222633,Normal data,Normal data,Normal data
62,65550.779,0.22899999999208376,18:12:30:779,0001471956 [app] INFO: ACCEL: ,-4160,-2144,1280,-84.701813,227.272186,-35.34502,-952.6399999670684,-19.39671517632948,4851.8796357700385,245.10470026808127,0.06815651972838749,Normal data,Normal data,Normal data
63,65550.91,0.13100000000849832,18:12:30:910,0001472091 [app] INFO: ACCEL: ,576,-992,576,-72.596161,205.426208,-23.660191,75.45600000489503,-9.510097091616945,1283.5949516884211,219.15732742336877,0.05424048568819918,Normal data,Normal data,Normal data
64,65551.003,0.09299999999348074,18:12:31:003,0001472226 [app] INFO: ACCEL: ,-1408,-1504,1344,-96.935448,174.616638,2.29774,-130.94399999082088,-9.014996663368052,2459.8406452451345,199.731647353371,0.04382215059409414,Normal data,Normal data,Normal data
